Victoria,Victoria_count,Vancouver,Vancouver_count
45.97,198,55.36,1189
46.19,267,54.67,1586
46.3,210,54.48,1405
45.85,219,54.21,1483
45.91,277,55.41,1833
45.61,223,54.9,1887
45.79,98,54.37,636
46.01,158,52.6,1003
46.19,287,53.07,2114
46.94,333,54.05,2945
47.58,486,55.02,3322
48.64,437,55.81,3116
49.56,423,56.6,2755
50.08,407,57.33,2536
50.55,330,57.87,1903
51,300,57.81,2223
51.9,384,57.94,2186
52.57,298,58.25,1636
53.31,308,58.82,1981
53.6,293,59.31,2105
54.1,352,59.77,3081
54.38,465,60.47,3726
54.81,401,60.99,3171
54.91,492,61.5,3107
55.38,438,61.83,2961
55.67,430,62.34,2806
56.29,436,62.72,3117
56.55,465,63.37,3455
57.14,491,63.94,4097
57.69,278,64.59,1971
57.91,242,65.14,1831
58.38,262,65.55,1661
58.57,349,66.23,2769
59.51,382,66.94,3389
60.02,467,67.43,3286
60.58,506,67.89,3985
60.43,472,67.98,3215
60,452,68.37,2968
59.94,356,68.43,2796
60.21,337,68.5,2663
60.42,391,68.55,2723
60.53,297,68.63,2076
61.1,332,68.8,2648
61.66,411,69.18,2561
62.4,492,69.64,3820
62.46,541,70.05,4545
62.54,533,70.29,5204
62.44,385,70.45,3447
62.31,364,70.6,2687
62.5,365,70.71,2871
62.17,349,70.72,2326
62.06,317,71.03,2489
61.29,323,70.95,2873
61.67,260,71.13,2071
61.49,317,70.91,2566
61.68,224,70.96,2047
60.79,219,70.92,2125
60.43,200,70.9,1962
59.93,263,70.7,2371
59.98,325,70.42,2753
59.85,396,70.02,2540
60.2,434,70.05,3159
59.87,444,69.98,2855
59.53,365,69.92,2517
60.19,307,69.91,2667
60.29,296,69.64,2131
60.47,269,69.52,2089
59.65,316,69.33,2153
59.87,373,69.51,2946
59.57,460,69.78,3488
59.82,460,69.88,3719
59.49,404,69.98,3205
59.86,477,70.01,3177
59.75,485,70.07,3058
60.03,391,69.87,2706
60.01,395,69.8,3208
60.03,488,69.71,3622
59.99,312,69.92,2747
60.25,496,69.78,3521
60.59,316,69.91,3010
60.55,345,69.92,3154
60.58,440,70.18,3846
60.33,549,70.35,3975
60.74,505,70.32,3568
60.92,533,70.42,3357
60.96,519,70.29,3368
60.67,380,70.5,2637
60.29,438,70.29,3106
60.36,358,69.88,3046
60.32,304,69.58,2461
60.96,341,69.27,2437
60.75,318,69.36,2282
61.05,338,69.25,2334
60.42,381,69.1,2482
60.62,365,68.94,2449
60.52,498,68.71,2997
60.85,491,68.54,2627
60.43,451,68.29,2521
59.97,439,67.93,2682
59.67,345,67.58,2395
59.83,343,67.35,2100
60.04,330,66.89,1975
60.13,244,66.6,1862
60.07,289,66.51,1933
60,381,66.66,2578
60.21,390,67.01,2586
60.32,373,67.06,2628
60.66,563,67.19,3634
60.45,501,67.26,3529
60.58,409,67.37,3016
60.75,390,67.44,2678
60.76,334,67.55,2355
60.67,441,67.59,2629
60.46,288,67.71,1904
60.64,192,67.7,1632
61.03,247,67.7,1623
60.91,251,67.8,2078
61,255,67.98,2037
60.84,353,68.35,2353
61.47,419,68.7,2871
61.65,326,68.81,2369
61.91,362,68.73,2634
61.83,326,68.33,2149
61.59,320,68.09,2125
61.94,267,67.96,2530
62.09,184,68.1,1604
62.33,230,68.36,1821
62.02,189,68.34,1692
61.75,292,67.96,2328
61.89,319,68.15,2776
62.08,410,68.67,2987
62.43,508,69.44,3647
62.69,565,69.55,3680
63.08,604,69.58,3851
63.6,404,69.9,2987
64.03,435,70.19,2976
64.33,408,70.34,3407
64.45,269,70.3,2355
64.9,376,70.67,3501
65.06,359,71.28,3158
65.75,404,72.13,3775
66.43,565,72.97,4505
67.54,621,73.77,4844
68.09,564,74.56,4591
68.51,579,74.97,4099
68.49,605,75.2,3967
68.78,427,75.1,3274
68.93,383,75.39,3438
69.73,430,75.38,3380
70.16,275,75.8,2367
70.74,329,76.05,3208
71.02,336,77.03,2784
71.52,336,77.84,3372
72.19,441,78.65,3745
73.46,566,79.33,4161
74.89,633,80.03,4510
76.43,625,80.78,4620
77.19,703,81.3,4907
78.49,530,82.11,4708
80.05,525,83.08,4294
81.26,364,83.68,3840
81.34,354,84.31,2829
81.49,322,84.73,3186
81.81,294,86.17,2737
83.56,410,87.63,3738
85.2,536,89.16,4435
87.39,497,90.64,4310
89.32,607,91.97,5134
90.03,577,92.84,4427
90.69,528,93.08,3946
90.98,456,92.74,3227
91.87,393,93.04,2900
92.07,368,93.1,2980
92.85,312,93.9,2054
93.4,270,93.81,2487
95.02,280,94.6,2255
96.32,324,95.22,3070
98.73,495,96.9,3672
101.46,511,99.04,3885
100,580,100,4785
102.74,498,101.36,4290
106.65,583,102.89,4430
106.87,473,103.73,3728
107.52,345,104.59,3348
107,344,105.51,3344
107.5,257,106.56,2219
106.09,284,107.16,2632
108.14,286,108.92,2241
110.3,367,110.77,3124
114.63,375,112.55,3084
116.68,498,114.8,3743
117.33,552,117.27,4223
124.97,480,121.68,3791
125.87,484,126.19,3695
124.51,368,127.86,2746
123.78,349,128.53,2494
123.36,302,129.42,2615
123.01,267,128.76,1787
125,265,128.36,2128
126.25,231,128.19,1960
127.5,371,130.04,2813
127.74,410,132.42,3174
130.11,464,134.59,3852
131.92,647,136.5,4348
133.17,646,138.44,4391
134.93,684,140.48,4700
136.41,403,141.98,2978
138.3,413,143.16,3017
138.37,452,144.04,3090
138.81,229,143.99,1840
138.67,303,144.28,2449
139.7,236,144.67,2042
140.39,302,146.96,2375
142.01,365,148.78,2935
142.99,454,150.22,3204
143.93,468,150.49,3313
143.46,577,150.59,3296
143.49,503,150.1,2457
142.46,333,149.56,1986
141.87,299,147.66,1711
140.1,180,145.73,1337
138.19,165,141.6,979
134.46,132,137.7,944
132.48,159,134.95,1037
131.89,232,133.22,1544
129.88,275,132.92,2123
131.15,383,132.73,2696
132.27,574,134.43,4049
134.01,623,136.59,4503
136.5,631,138.98,4680
138.33,495,141.87,3940
139.69,440,144.38,3719
140.92,440,147.1,3732
143.08,315,148.93,2652
143.49,266,150.5,2923
144.41,244,151.16,1986
143.05,398,152.14,2944
144.26,476,153.59,3286
144.01,459,155.28,3524
146.93,629,156.52,4715
145.32,378,155.88,3010
145.41,336,155.33,2539
143.63,290,154.66,2386
142.23,247,154.7,2153
141.13,299,155.71,2526
139.07,210,156.45,1945
140.19,222,157.75,2316
140.8,214,158.48,2110
141.02,261,159.89,3227
141.98,357,162.57,3145
143.08,344,165.24,3626
143.25,426,168.16,3895
143.72,393,169.7,3364
143.72,426,170.77,3390
144.04,326,170.71,2642
141.92,252,170.15,2324
140.64,281,169.81,2296
139.51,229,169.29,1803
140,211,168.84,1910
138.47,234,168.3,1790
139.94,266,169.48,2359
139.4,112,170.57,1054
139.45,341,172.46,2761
140.4,343,173.33,2942
143.15,500,172.44,3738
142.11,387,170.31,2344
140.28,260,168.28,2172
139.49,274,168.46,1880
138.2,240,167.51,2007
139.51,219,165.89,1780
141.51,125,164.55,1244
139.48,143,165.72,1172
135.04,166,166.98,1473
134.84,249,165.63,2312
133.76,281,166.87,2230
133.96,331,168.42,2644
137.41,484,168.92,3416
138.49,428,170.18,3037
139.51,364,171.11,3303
138.73,241,173,1832
136.22,300,174.04,2556
133.92,251,175.03,2360
133.48,143,176.94,1604
134.7,197,178.47,1734
135.27,217,179.62,2359
133.88,236,180.52,2141
133.79,320,180.47,2600
136.17,464,178.75,3899
140.9,497,179.16,3462
141.38,574,180.63,4454
138.84,372,182.2,2844
138.62,344,184.31,2835
138.19,454,184.36,3883
138.17,247,183.71,1966
139.41,201,185.94,1784
140.04,193,188.66,2105
139.7,250,189.14,2638
139.47,290,189.2,2507
140.19,433,191.58,3560
143.87,554,193.9,4969
146.36,623,196.94,4720
145.89,728,198.08,5392
147.08,436,201.2,3395
147.55,391,202.42,3471
150.15,519,205.15,4685
