Date,Open,High,Low,Close,Adj Close,Volume
2004-06-01,18,18.25,17.85,18.1,13.951351,186700
2004-07-01,18.1,19,18.1,18.4,14.1826,192700
2004-08-01,18.4,19.190001,18.4,18.950001,14.606526,62900
2004-09-01,18.469999,18.73,17.85,18.200001,14.028434,302700
2004-10-01,18.200001,19.48,18.200001,19.15,14.809374,216500
2004-11-01,19.25,20.9,19.25,20.68,15.992579,99700
2004-12-01,20.4,22.950001,20.25,22.85,17.670719,240500
2005-01-01,22.85,22.85,21.25,21.620001,16.77652,203500
2005-02-01,21.879999,23.5,21.51,23,17.847359,95300
2005-03-01,23,25.450001,23,23.549999,18.274149,1117800
2005-04-01,23.549999,25.01,22.5,22.75,17.710049,160900
2005-05-01,22.75,24.4,22.530001,23.950001,18.644196,272700
2005-06-01,23.1,25.5,23.1,24.66,19.196901,384300
2005-07-01,24.700001,25.5,24.35,25.5,19.918629,368800
2005-08-01,25.48,26.950001,25,26.5,20.699747,89100
2005-09-01,26.940001,27,24.219999,24.450001,19.098452,1542000
2005-10-01,24.84,25,23.75,24.5,19.194439,164800
2005-11-01,24.5,25,23.75,23.98,18.787048,212600
2005-12-01,23.75,25,23.75,24.6,19.272774,185900
2006-01-01,24.75,25.860001,23.52,23.85,18.746861,520700
2006-02-01,23.85,28.93,23.549999,28.309999,22.252567,535400
2006-03-01,28.98,30.5,27.1,28.5,22.401913,466900
2006-04-01,28.450001,29,26.200001,27.25,21.494556,352200
2006-05-01,27.25,28.969999,26.620001,26.799999,21.139597,163100
2006-06-01,26.75,26.75,25.200001,26.25,20.705759,132700
2006-07-01,26.25,27.530001,26,27,21.378645,139800
2006-08-01,27.049999,27.5,26.709999,27.25,21.576597,102200
2006-09-01,27.5,29.809999,27.5,29.469999,23.334391,225800
2006-10-01,29.48,29.48,27.299999,28.1,22.326616,186600
2006-11-01,28.1,29.6,27.51,29.190001,23.192665,104000
2006-12-01,29.1,33.5,28.049999,31.200001,24.789698,219700
2007-01-01,31,33.849998,31,33.75,26.907139,130300
2007-02-01,33.299999,34.5,32,34.490002,27.497103,151800
2007-03-01,34.18,34.18,31.48,32.75,26.109894,1625700
2007-04-01,32.740002,33,31.77,32.400002,25.912334,288200
2007-05-01,33.240002,34.75,32.560001,34.75,27.79179,935300
2007-06-01,34.75,34.75,31.209999,32.049999,25.632427,280400
2007-07-01,31.5,33,30.5,31.75,25.467442,546400
2007-08-01,31.110001,32.700001,26.5,30,24.063728,355800
2007-09-01,30.01,30.4,28.34,29,23.261606,433500
2007-10-01,29,30.74,28.75,30.450001,24.50646,209500
2007-11-01,30.940001,32,27,28.469999,22.912926,485200
2007-12-01,28.469999,29.51,28,28.75,23.138275,545600
2008-01-01,29.059999,29.16,24.5,26.620001,21.499464,243100
2008-02-01,26.76,26.93,23.549999,23.98,19.36729,1000400
2008-03-01,23.9,24.190001,21.51,21.950001,17.727776,1016000
2008-04-01,22.120001,22.34,19.76,20.9,16.952696,652100
2008-05-01,21.16,22.959999,21.02,21.91,17.77194,540800
2008-06-01,21.6,22.790001,20.07,21.5,17.439369,952500
2008-07-01,21.52,21.540001,19.49,21.120001,17.212328,189500
2008-08-01,21.209999,21.65,20.549999,21.110001,17.204184,177600
2008-09-01,21.389999,21.99,19.059999,19.07,15.541627,246000
2008-10-01,18.950001,19.68,11.25,12.51,10.29068,357900
2008-11-01,12.56,14.67,10.81,11.25,9.25421,490000
2008-12-01,10.9,11.99,8.66,11.75,9.665504,2127400
2009-01-01,11.75,14.99,11.75,11.87,9.862846,92200
2009-02-01,11.01,12.16,10,10,8.309054,206900
2009-03-01,9.95,11.4,9.11,10.99,9.131651,280000
2009-04-01,10.74,13.69,10.4,13.49,11.32841,207900
2009-05-01,13.5,18,13.5,17.42,14.628682,154400
2009-06-01,17.5,18.5,17,18.450001,15.493638,313300
2009-07-01,18.25,18.51,16.780001,18.35,15.499516,153800
2009-08-01,18.450001,19.99,18.1,19,16.048546,242100
2009-09-01,18.9,22.639999,18.85,22.09,18.658543,1623900
2009-10-01,21.610001,21.91,20.5,20.6,17.483854,118300
2009-11-01,20.6,21.99,19.950001,20.360001,17.280161,159600
2009-12-01,20.700001,21.65,20,21.25,18.035524,290800
2010-01-01,21.25,21.5,20.450001,20.639999,17.602634,219800
2010-02-01,20.709999,21.67,20.110001,21.49,18.327547,321400
2010-03-01,21.5,24.99,21.5,24.450001,20.851963,221200
2010-04-01,24.370001,25.82,23.9,24.299999,20.816465,149900
2010-05-01,24.15,24.200001,21.16,21.9,18.760521,260200
2010-06-01,21.9,22.07,20.32,21.809999,18.683428,107400
2010-07-01,21.700001,21.700001,19.860001,20.35,17.517759,409200
2010-08-01,20.34,21.48,20.139999,21,18.077288,245500
2010-09-01,20.9,21.049999,20.25,21.040001,18.111732,135300
2010-10-01,21.07,23.549999,21,23.43,20.266489,173100
2010-11-01,23.309999,24,22.25,23,19.894541,246600
2010-12-01,23,25.25,23,24.99,21.615856,172700
